DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;TOTAL_MIN_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MIN_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_IMPORT(-)_EXPORT(+)_[MW];AUSTRIA_MIN_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_IMPORT(-)_EXPORT(+)_[MW];GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
07/01/2022;07/01/2022;aFRR;NEG_16_20;0,22;0,60;0,84;0,30;0,60;0,84;75,00;0,22;0,59;0,81;-75,00;3897,00
07/01/2022;07/01/2022;aFRR;NEG_20_24;0,40;1,14;2,49;0,80;1,11;1,58;80,00;0,40;1,70;2,49;-80,00;4015,00
08/01/2022;08/01/2022;aFRR;POS_00_04;0,00;0,42;0,71;0,16;0,42;0,71;59,00;0,00;0,42;0,71;-59,00;4216,00
08/01/2022;08/01/2022;aFRR;POS_04_08;0,43;1,66;2,25;0,90;1,67;2,25;71,00;0,43;1,45;2,24;-71,00;4254,00
08/01/2022;08/01/2022;aFRR;POS_08_12;1,34;6,36;8,67;3,90;6,50;8,67;-80,00;1,34;5,40;7,48;80,00;4964,00
08/01/2022;08/01/2022;aFRR;POS_12_16;1,03;4,16;5,10;3,03;4,25;5,10;-80,00;1,03;3,51;4,88;80,00;5317,00
08/01/2022;08/01/2022;aFRR;POS_16_20;3,14;11,81;14,15;9,50;11,96;14,15;-45,00;3,14;10,60;14,14;45,00;5393,00
08/01/2022;08/01/2022;aFRR;POS_20_24;0,54;2,19;2,68;1,60;2,22;2,68;39,00;0,54;1,86;2,67;-39,00;4395,00
08/01/2022;08/01/2022;aFRR;NEG_00_04;7,49;16,99;22,99;14,20;16,92;18,36;80,00;7,49;18,09;22,99;-80,00;4292,00
08/01/2022;08/01/2022;aFRR;NEG_04_08;5,36;12,62;16,90;7,52;12,62;14,03;80,00;5,36;12,71;16,90;-80,00;4434,00
08/01/2022;08/01/2022;aFRR;NEG_08_12;0,54;1,43;2,17;0,54;1,41;1,71;80,00;0,63;1,73;2,17;-80,00;4781,00
08/01/2022;08/01/2022;aFRR;NEG_12_16;0,30;1,02;1,98;0,55;0,99;1,20;80,00;0,30;1,50;1,98;-80,00;4013,00
08/01/2022;08/01/2022;aFRR;NEG_16_20;0,00;0,58;1,00;0,27;0,57;0,91;80,00;0,00;0,68;1,00;-80,00;3953,00
08/01/2022;08/01/2022;aFRR;NEG_20_24;0,36;3,57;10,42;0,80;3,65;10,42;29,00;0,36;2,59;9,11;-29,00;3942,00
09/01/2022;09/01/2022;aFRR;POS_00_04;0,00;0,41;0,94;0,07;0,41;0,94;43,00;0,00;0,45;0,77;-43,00;4300,00
09/01/2022;09/01/2022;aFRR;POS_04_08;0,43;1,23;1,89;0,75;1,23;1,57;80,00;0,43;1,26;1,89;-80,00;4295,00
09/01/2022;09/01/2022;aFRR;POS_08_12;1,34;4,48;5,60;3,50;4,51;5,44;80,00;1,34;3,92;5,60;-80,00;4526,00
09/01/2022;09/01/2022;aFRR;POS_12_16;1,03;3,27;3,83;2,25;3,30;3,83;9,00;1,03;2,91;3,81;-9,00;5037,00
09/01/2022;09/01/2022;aFRR;POS_16_20;3,14;10,78;12,58;7,31;10,91;12,58;24,00;3,14;9,09;12,56;-24,00;5225,00
09/01/2022;09/01/2022;aFRR;POS_20_24;0,54;2,25;2,95;0,93;2,28;2,95;-67,00;0,54;2,03;2,95;67,00;4965,00
09/01/2022;09/01/2022;aFRR;NEG_00_04;7,49;36,97;71,82;10,00;38,48;71,82;16,00;7,49;20,97;54,22;-16,00;3771,00
09/01/2022;09/01/2022;aFRR;NEG_04_08;5,36;36,97;77,32;8,00;38,72;77,32;31,00;5,36;16,95;52,11;-31,00;3777,00
09/01/2022;09/01/2022;aFRR;NEG_08_12;0,63;4,53;12,02;1,00;4,78;12,02;2,00;0,63;2,03;7,94;-2,00;3875,00
09/01/2022;09/01/2022;aFRR;NEG_12_16;0,30;1,62;3,84;0,50;1,61;3,84;8,00;0,30;1,67;3,00;-8,00;4103,00
09/01/2022;09/01/2022;aFRR;NEG_16_20;0,00;0,94;2,06;0,00;0,94;2,06;7,00;0,00;1,00;2,00;-7,00;3939,00
09/01/2022;09/01/2022;aFRR;NEG_20_24;0,36;3,09;4,90;0,80;3,15;4,90;75,00;0,36;2,16;4,47;-75,00;4067,00
10/01/2022;10/01/2022;aFRR;POS_00_04;0,10;1,18;2,00;0,60;1,22;2,00;0,00;0,10;0,77;1,84;0,00;4864,00
10/01/2022;10/01/2022;aFRR;POS_04_08;0,79;5,05;10,10;1,40;5,10;10,10;-75,00;0,79;4,67;10,01;75,00;4785,00
10/01/2022;10/01/2022;aFRR;POS_08_12;3,30;16,99;30,33;3,30;16,79;23,57;80,00;3,47;20,65;30,33;-80,00;5262,00
10/01/2022;10/01/2022;aFRR;POS_12_16;2,25;9,70;13,36;2,25;9,94;13,36;-58,00;2,81;7,82;12,77;58,00;5089,00
10/01/2022;10/01/2022;aFRR;POS_16_20;7,64;22,38;29,97;9,00;22,49;29,97;-57,00;7,64;21,50;29,24;57,00;5242,00
10/01/2022;10/01/2022;aFRR;POS_20_24;1,42;4,93;9,45;2,20;4,96;9,45;-80,00;1,42;4,76;7,81;80,00;5044,00
10/01/2022;10/01/2022;aFRR;NEG_00_04;8,00;21,01;30,88;8,00;21,07;30,88;35,00;9,65;20,26;29,90;-35,00;4207,00
10/01/2022;10/01/2022;aFRR;NEG_04_08;9,00;18,88;27,89;9,00;19,14;27,89;44,00;9,00;15,51;25,90;-44,00;4298,00
10/01/2022;10/01/2022;aFRR;NEG_08_12;0,00;1,91;3,16;0,00;1,92;3,16;-60,00;0,87;1,81;2,98;60,00;3865,00
10/01/2022;10/01/2022;aFRR;NEG_12_16;0,00;1,08;1,67;0,00;1,07;1,67;76,00;0,53;1,23;1,64;-76,00;4180,00
10/01/2022;10/01/2022;aFRR;NEG_16_20;0,00;0,71;1,00;0,00;0,71;1,00;-19,00;0,28;0,72;1,00;19,00;3948,00
10/01/2022;10/01/2022;aFRR;NEG_20_24;0,00;1,60;2,38;0,00;1,58;2,38;68,00;0,95;1,92;2,30;-68,00;4083,00
11/01/2022;11/01/2022;aFRR;POS_00_04;0,38;1,04;3,39;0,67;1,06;1,39;80,00;0,38;0,84;3,39;-80,00;4262,00
11/01/2022;11/01/2022;aFRR;POS_04_08;0,79;5,06;6,86;2,34;5,08;6,86;63,00;0,79;4,68;6,84;-63,00;4140,00
11/01/2022;11/01/2022;aFRR;POS_08_12;6,49;14,87;20,01;7,41;14,79;18,84;80,00;6,49;16,47;20,01;-80,00;5091,00
11/01/2022;11/01/2022;aFRR;POS_12_16;3,78;8,90;10,40;5,60;8,91;10,16;80,00;3,78;8,60;10,40;-80,00;4978,00
11/01/2022;11/01/2022;aFRR;POS_16_20;8,29;20,03;24,80;11,34;20,01;22,84;80,00;8,29;20,33;24,80;-80,00;4658,00
11/01/2022;11/01/2022;aFRR;POS_20_24;1,68;4,74;6,31;3,23;4,72;6,31;53,00;1,68;4,97;6,31;-53,00;4550,00
11/01/2022;11/01/2022;aFRR;NEG_00_04;6,00;17,51;24,80;11,01;17,48;20,54;80,00;6,00;18,07;24,80;-80,00;4382,00
11/01/2022;11/01/2022;aFRR;NEG_04_08;5,74;15,08;19,50;8,70;15,11;18,34;80,00;5,74;14,56;19,50;-80,00;4253,00
11/01/2022;11/01/2022;aFRR;NEG_08_12;0,57;1,49;1,95;0,72;1,47;1,95;26,00;0,57;1,65;1,94;-26,00;3930,00
11/01/2022;11/01/2022;aFRR;NEG_12_16;0,40;0,97;1,55;0,50;0,96;1,20;80,00;0,40;1,18;1,55;-80,00;3938,00
11/01/2022;11/01/2022;aFRR;NEG_16_20;0,00;0,57;0,74;0,00;0,56;0,74;-40,00;0,29;0,61;0,74;40,00;3740,00
11/01/2022;11/01/2022;aFRR;NEG_20_24;0,50;1,29;2,64;0,50;1,26;1,60;80,00;0,50;1,83;2,64;-80,00;4189,00
12/01/2022;12/01/2022;aFRR;POS_00_04;0,30;0,94;2,61;0,59;0,91;1,09;80,00;0,30;1,40;2,61;-80,00;4461,00
12/01/2022;12/01/2022;aFRR;POS_04_08;1,71;4,48;8,13;3,00;4,42;5,43;80,00;1,71;5,53;8,13;-80,00;4302,00
12/01/2022;12/01/2022;aFRR;POS_08_12;4,83;14,27;33,24;5,50;14,00;20,38;80,00;4,83;19,45;33,24;-80,00;4812,00
12/01/2022;12/01/2022;aFRR;POS_12_16;3,04;7,28;12,62;4,88;7,22;8,79;80,00;3,04;8,46;12,62;-80,00;5060,00
12/01/2022;12/01/2022;aFRR;POS_16_20;5,92;17,26;26,27;13,68;17,28;19,30;80,00;5,92;16,80;26,27;-80,00;4815,00
12/01/2022;12/01/2022;aFRR;POS_20_24;1,56;3,90;5,02;2,06;3,90;4,79;80,00;1,56;3,82;5,02;-80,00;4447,00
12/01/2022;12/01/2022;aFRR;NEG_00_04;5,80;13,39;16,42;7,85;13,39;15,33;80,00;5,80;13,38;16,42;-80,00;4671,00
12/01/2022;12/01/2022;aFRR;NEG_04_08;0,70;11,21;13,60;0,70;11,22;12,60;80,00;5,22;11,08;13,60;-80,00;4688,00
12/01/2022;12/01/2022;aFRR;NEG_08_12;0,51;1,07;1,29;0,70;1,06;1,29;36,00;0,51;1,12;1,29;-36,00;4060,00
12/01/2022;12/01/2022;aFRR;NEG_12_16;0,34;0,70;0,88;0,45;0,70;0,88;30,00;0,34;0,73;0,87;-30,00;4165,00
12/01/2022;12/01/2022;aFRR;NEG_16_20;0,00;0,42;0,54;0,00;0,42;0,54;-36,00;0,20;0,43;0,54;36,00;4052,00
12/01/2022;12/01/2022;aFRR;NEG_20_24;0,39;1,06;2,07;0,65;1,03;1,21;80,00;0,39;1,54;2,07;-80,00;4276,00
13/01/2022;13/01/2022;aFRR;POS_00_04;0,33;0,74;2,03;0,43;0,71;0,95;80,00;0,33;1,29;2,03;-80,00;4339,00
